Titulo;Fecha Estreno;Genero;Duracion;Año;Clasificacion Edad;Protagonistas;Sinopsis;Link;Portada
Herida;24/11/2021;Dramas;2h 12 min;-;-;Halle Berry,Adan Canto,Adriane Lenox;Años después de una derrota humillante, una luchadora de MMA se aferra a su última oportunidad para redimirse cuando el hijo al que abandonó regresa a su vida.;https://www.netflix.com/watch/81043365;https://dnm.nflximg.net/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABbu5v-pz6Nm8vXz8CdOrNHyCxwAsrD8ch2ULa6GyXqZSs4RdJYSpGba2qivMJVpY1yw7hBCmQ9r7ZeOcC2l5zU0cFvtjWZqm8VKKbQEfhc7f48WoSCrXFnXIyxmykQ.jpg?r=90a
Super Crooks;25/11/2021;Animes de ciencia ficción;-;-;-;Kenjiro Tsuda,Maaya Sakamoto,Hiroshi Yanaka;Johnny Bolt recluta a una banda de variopintos supervillanos para dar un último golpe. Su objetivo: un despiadado jefe criminal con superpoderes... ¿Qué podría salir mal?;https://www.netflix.com/watch/81043820;https://dnm.nflximg.net/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABbH7CncjYrs6qtgNPzAXf4GgfeA8PalR8R29GAullslinAoJI0inXS3BKN_7TTsaXSyfgNOtlanCSFLBc4LJ6hq_oDMDMWahjvpN_H7raVU36LQHnfUUZD3AQuq-eQ.jpg?r=fef
La luz de la noche;26/11/2021;Series TV chinas;-;-;-;Ruby Lin,Cheryl Yang,Tony Yang;En el barrio rojo del Taipéi de los años 80, las mujeres de un popular local nocturno japonés lidian con los celos, el desengaño, la amistad y el amor.;https://www.netflix.com/watch/81477953;https://dnm.nflximg.net/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABZ_FQuh58jPj7UvCxNeLKa5B9Iefj7NGp0qObGyqqLqvElveQ0d7fTFLS38-vqS9U0c9vroQ0-NdtWyxCO2LRz69_fxHEp5s6tb4HfespdR2pkQe1fnnYPz60xCGXQ.jpg?r=08b
Academia del Chocolate;26/11/2021;Series TV de EE UU;-;-;-;-;Ocho profesionales estudian el arte del chocolate bajo la tutela de un famoso chocolatero. Pero solo uno podrá ser el mejor de la clase y ganar la oportunidad de su vida.;https://www.netflix.com/watch/81240511;https://dnm.nflximg.net/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABemqi91YdYE8FuL0tamvqGClA8sVM-MA4yE-r97pNIVGtSJx_2PLB8I3HaRXDTqi35Z3L43wF33hfHi8E8qDMwXGX6zq0idArDey2glYjh3saCGMqaSa_76c51ikFg.jpg?r=f2b
A fondo: La desaparición de Birgit Meier;26/11/2021;Documentales biográficos;-;-;-;-;Cuando Birgit Meier desaparece en 1989, los errores de la policía entorpecen el caso durante años. Pero su hermano sigue buscando incansablemente la verdad.;https://www.netflix.com/watch/81094954;https://dnm.nflximg.net/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABVeU0_6V48rTqVg_QCn5-vuGRJy5DyqBmXWeouFbXKQ36XrZv5D0gt3b538TcybkQu51Hd31g10ZTC9_GoJcAU9kOR1aiyhBMxJPBXWRqE-kVuhrtTPFbjBUHcnENw.jpg?r=803
Angèle;26/11/2021;Documentales biográficos;1h 24 min;-;-;Angèle;La estrella pop belga Angèle reflexiona sobre su vida y sus sueños mientras busca el equilibrio entre las tristezas, las alegrías y la soledad de la fama.;https://www.netflix.com/watch/81313522;https://dnm.nflximg.net/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABfQKC6b0zvcpCTESbNHCUI6gqXXum2we82THLHiVVpYjgxuweiOegEDVypXByqWLcWvTLaeWTtc1agptfbfu_W40h-RIcFPYhdVrNE5dDez00YDJ22PbcNuZuu-h_A.jpg?r=b25
Un castillo por Navidad;26/11/2021;Comedias románticas;1h 39 min;-;-;Brooke Shields,Cary Elwes,Lee Ross;Una exitosa escritora que huye de un escándalo pone rumbo a Escocia, en donde se enamora de un castillo... y se enfrenta al quisquilloso duque que se niega a vendérselo.;https://www.netflix.com/watch/81026181;https://dnm.nflximg.net/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABcTeE5Pd-ZsXwdvPT4qOLzHVmDk8IKYbbmGqzZ0jnk6D7pmx-rO5kWsEX41dssJZoj-_zppQkDQdzeSSqQCwo9dIYPUnHKcfpUlzOXQq57nOAXNDvT6PxEIoYJ5XKw.jpg?r=be7
Ricos y mimados;26/11/2021;Comedias;1h 35 min;-;-;Gérard Jugnot,Camille Lou,Artus;Tres hermanos malcriados se ven obligados a ganarse la vida cuando su adinerado (y bien intencionado) padre finge que lo ha perdido todo para darles una lección.;https://www.netflix.com/watch/81276519;https://dnm.nflximg.net/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABcx98pxHIQd2SZcZ0IM8lWdVyP6VXix1sIF-nlId5U-MzUgI8C4SOeowKPgwEKBF3gQ2KFXT3ER57NKewb2DVBQxA46sh2prRH9j0ctiIDHVhuVjvTcggeBIZOwmCw.jpg?r=9fa
Elfos;28/11/2021;Series TV fantásticas;-;-;-;Sonja Sofie Engberg Steen,Milo Campanale,Vivelill Søgaard Holm;Las vacaciones de Navidad de una adolescente y su familia se convierten en una auténtica pesadilla cuando descubren la ancestral amenaza que acecha su retiro isleño.;https://www.netflix.com/watch/81178589;https://dnm.nflximg.net/api/v6/Kc8CA9GHHouTKoU4bM9l5VW4DIA/AAAABSwN6sWtsPL3ntXFWnSL3mz7kHHJJSkrh2Kg7eCJpEjC4FuKzTkSLWsuT3OChMdGdKDRoYOc_lCfmwKnIIciydmrN6qnbwasnkjwBiURksJA4wqr57MBZmS0LD4IdwZhBdo.jpg
Los 14 ochomiles: No hay nada imposible;29/11/2021;Documentales biográficos;1h 41 min;-;-;-;El intrépido escalador nepalí Nimsdai Purja emprende una misión aparentemente imposible: coronar los 14 picos del mundo que superan los 8000 metros en solo siete meses.;https://www.netflix.com/watch/81464765;https://dnm.nflximg.net/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABWRIZAQYSALrDXKxgMB1vnzwn42fk6yPmDO2EHFJLa8sgKZ0y8KNNVBdre2V5duv2zscN8wFIjGPDKpgJQZFqsmQMuFCear-aUwNHEmHhDVh6hIrl0NTHALbytMf1w.jpg?r=594
Charlie en Villapegatina;30/11/2021;Dibujos animados TV;1 temporada;2019;0+ ;Jacob Soley,Saara Chaudry,Tyler Barish;Charlie crea historias superdivertidas usando diferentes formas geométricas ¡y necesita tu ayuda! Acompáñale en mil y una aventuras diferentes para todos los públicos.;https://www.netflix.com/watch/81237763;https://dnm.nflximg.net/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABe98Ob-JAcoJwspnq8uAz7CC26PqC_MiSlyw_djvmQhSEeWKjJveT-D4BWB3GaF-uVTolxWoUwbH_x4Fa0Kagpzel--CRugmfAtyNvrKuGQ57ZSqnguyj6bYqh44Ow.jpg?r=6b3
Charlie en Villapegatina;30/11/2021;Dibujos animados TV;1 temporada;2019;0+ ;Jacob Soley,Saara Chaudry,Tyler Barish;Charlie crea historias superdivertidas usando diferentes formas geométricas ¡y necesita tu ayuda! Acompáñale en mil y una aventuras diferentes para todos los públicos.;https://www.netflix.com/watch/81240490;https://dnm.nflximg.net/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABdylNfKZUzRUFrfKepsjCwlvkjGv2jkUaBEKGI4E7BKpFAW7vZ5R6bgQSgM8UXUFXZL4ruYqNRgw7z4kgAHQ06vP5GnOoB4rDdpbwGdJkMa4Ud7EqUN6kEIez_hspw.jpg?r=8a2
Charlie en Villapegatina;30/11/2021;Dibujos animados TV;1 temporada;2019;0+ ;Jacob Soley,Saara Chaudry,Tyler Barish;Charlie crea historias superdivertidas usando diferentes formas geométricas ¡y necesita tu ayuda! Acompáñale en mil y una aventuras diferentes para todos los públicos.;https://www.netflix.com/watch/81367067;https://dnm.nflximg.net/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABYAgx5Swr6z7DBAdWYZ3xcfmzCiNcAM7hVZ8BsrMKSVFMPZpz_tMW9FFJ9kQWJC_y_rkOzIpS_wXffnOj5G7QJO-u_msuT8aFcCzZ8UXWJzJQg3rJY-gNutDZj6uOQ.jpg?r=36e
Enséñame el camino a casa;30/11/2021;Películas documentales;40 min;-;-;-;Las emotivas historias de indigencia en la Costa Oeste de Estados Unidos enmarcan este retrato cinematográfico de una creciente crisis humanitaria.;https://www.netflix.com/watch/81240756;https://dnm.nflximg.net/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABcDgeJaMi4Z2mMzqkd3Lo94x4ontpl03CCyLxDFly3GorlIAzaTC2NnsDlDJvAyATAA9yKH5e5-Ad6yVlrkSTXWNLBmdxJX2b7mhZCexe_bpr32IEI8F-CfuirvFpA.jpg?r=5d6
La cumbre de los dioses;30/11/2021;Películas basadas en libros;1h 35 min;-;-;Lazare Herson-Macarel,Éric Herson-Macarel,Damien Boisseau;Su búsqueda obsesiva de la verdad sobre la primera expedición al Everest pone a un fotoperiodista tras la pista de un respetado alpinista desaparecido.;https://www.netflix.com/watch/81439550;https://dnm.nflximg.net/api/v6/evlCitJPPCVCry0BZlEFb5-QjKc/AAAABQ11lZCizJzpbCI0cuczzHBMSZwr8kEjmXf_WmvDWhs8JkXG1Pl7psn97dgR6YHAJjnGSJwGCZaR1mszsBHfhNwdnglmg6t569YB1Z7BbL_DVdJs_d_CbxWz40Ywdg.jpg?r=781
Mo Amer: Mohammed in Texas;30/11/2021;Monólogos de humoristas;1h 4 min;-;-;-;In his hometown of Houston, Mo Amer takes on pandemic panic, disappointing Bradley Cooper, hummus appropriation and the subtle art of cursing in Arabic.;https://www.netflix.com/watch/81435608;https://dnm.nflximg.net/api/v6/Kc8CA9GHHouTKoU4bM9l5VW4DIA/AAAABalVXCsAVKOxbO-qiSYo4dVVAvzyvW173Dv5h5saPb3hiEQn5LxV-gD_eyiJ2X9WMtwR6U4NBVosHutMWf4XpPw_aLlgsVMNKpgmJgL_FuHklPzTPaqxOnEeFKJfSYMNZJogRjoqFvg_W9DHyZNZd__BL_efYdU.jpg
